first,second,third,freq
professor,snape,always,93
sorry,professor,snape,93
dark,arts,class,93
severus,snape,potions,92
professor,dumbledore,tell,92
speak,professor,mcgonagall,92
professor,mcgonagall,sitting,92
doors,great,hall,92
professor,dumbledore,wants,92
back,common,room,92
professor,mcgonagall,sent,92
yes,professor,dumbledore,92
professor,snape,went,91
way,professor,snape,91
around,see,professor,91
like,professor,lupin,91
way,professor,mcgonagall,91
professor,dumbledore,made,91
believe,professor,snape,90
p,p,professor,90
mcgonagall,professor,dumbledore,90
arts,professor,hogwarts,90
dumbledore,would,like,90
professor,mcgonagall,put,90
found,professor,snape,90
tiny,professor,flitwick,89
looking,professor,snape,89
class,professor,mcgonagall,89
professor,lupin,harry,89
thank,professor,mcgonagall,89
professor,dumbledore,hermione,89
ten,points,gryffindor,88
professor,mcgonagall,headmistress,88
professor,dumbledore,headmaster,88
professor,snape,given,88
speak,professor,snape,88
professor,snape,desk,88
professor,snape,may,88
professor,snape,class,88
hogwarts,professor,mcgonagall,88
hagrid,professor,mcgonagall,87
professor,snape,help,87
professor,dumbledore,portrait,87
well,professor,dumbledore,87
professor,mcgonagall,one,87
talking,professor,snape,87
professor,filius,flitwick,87
professor,mcgonagall,wanted,86
find,professor,dumbledore,86
professor,dumbledore,walked,86
looked,back,professor,86
professor,mcgonagall,stared,86
heard,professor,dumbledore,86
hello,professor,snape,86
professor,mcgonagall,right,85
professor,snape,wanted,85
detention,professor,mcgonagall,85
go,professor,dumbledore,85
welcome,back,professor,85
professor,dumbledore,sent,85
room,professor,mcgonagall,85
professor,mcgonagall,given,85
professor,flitwick,called,85
professor,mcgonagall,opened,84
professor,hogwarts,school,84
LRB,LRB,LRB,84
years,professor,mcgonagall,83
professor,snape,taught,83
hello,professor,said,83
towards,professor,mcgonagall,83
table,professor,mcgonagall,83
professor,dumbledore,nodded,83
professor,dumbledore,replied,83
surprised,see,professor,82
ancient,runes,professor,82
moment,professor,mcgonagall,82
professor,snape,got,82
professor,snape,back,82
right,professor,snape,82
professor,mcgonagall,got,82
morning,professor,snape,81
opened,professor,mcgonagall,81
say,professor,snape,81
professor,snape,think,81
professor,mcgonagall,first,81
made,way,professor,80
meeting,professor,mcgonagall,80
face,professor,mcgonagall,80
new,transfiguration,professor,80
professor,mcgonagall,tell,80
potter,said,professor,80
professor,harry,potter,80
need,talk,professor,80
professor,slughorn,would,80
professor,flitwick,squeaked,80
seen,professor,snape,80
professor,mcgonagall,dumbledore,80
professor,lupin,office,80
p,professor,snape,80
could,tell,professor,80
professor,vector,said,80
professor,snape,first,80
class,professor,snape,79
professor,snape,let,79
professor,dumbledore,knew,79
go,talk,professor,79
professor,mcgonagall,found,79
house,professor,mcgonagall,79
professor,snape,stepped,79
dear,professor,dumbledore,79
would,professor,snape,78
headmaster,professor,dumbledore,78
take,professor,snape,78
professor,defence,dark,78
professor,head,house,78
professor,dumbledore,took,78
professor,ginny,said,78
professor,snape,began,78
need,see,professor,78
professor,dumbledore,spoke,78
ah,professor,snape,78
draco,professor,snape,78
call,professor,snape,78
mr,mrs,weasley,77
oh,professor,snape,77
professor,snape,must,77
sorry,late,professor,77
course,professor,snape,77
professor,mcgonagall,stated,77
last,year,professor,76
thank,professor,dumbledore,76
office,professor,mcgonagall,76
dear,professor,mcgonagall,76
professor,snape,actually,75
professor,snape,mind,75
towards,professor,snape,75
mcgonagall,deputy,headmistress,75
professor,dumbledore,eyes,75
professor,snape,say,75
face,professor,snape,75
front,professor,mcgonagall,75
professor,snape,stated,75
professor,snape,also,75
sorry,professor,mcgonagall,75
ask,professor,flitwick,74
first,year,professor,74
sirius,professor,lupin,74
professor,dumbledore,sitting,74
professor,mcgonagall,approached,74
malfoy,professor,snape,74
killed,professor,dumbledore,73
harry,potter,professor,73
professor,dumbledore,announced,73
pomfrey,professor,snape,73
professor,mcgonagall,pulled,73
professor,mcgonagall,say,73
